pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,default_flag,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_telescope,ra,dec,glon,glat,elon,elat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,pl_trandur,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,pl_projobliq,x,y,z,htm20,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,sy_icmag,rowupdate,pl_pubdate,releasedate,dkin_flag,pl_imppar,pl_cmassj,pl_cmasse,pl_massj,pl_masse,pl_bmassj,pl_bmasse,pl_bmassprov,pl_msinij,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,st_spectype_simp
Kepler-6 b,b,Kepler-6,,,TIC 27916356,Gaia DR2 2086636884980514304,1,2010-04,2009,Transit,Space,Kepler,0.95 m Kepler Telescope,296.8372475,48.2399695,81.6927,11.3594,320.42104,67.03999,3.2346996,,0.04852,88.93,,,1460.0,0.00111,,0.4,,2454954.486528,,,,,,11.585,11.643,11.494,8.965,,13.1714,12.6877,0,[Fe/H],,13.303,,,0.3006763703318948,-0.594277760657328,0.7459407908890282,1967146688,80.9,1.304,14.617,0.09424,7.503,,,2015-10-07,2015-05,2015-10-15,0,0.141,,,0.668,212.31044,0.668,212.31044,Mass,,,5647.0,0.34,,,,4.24,,1.21,,1.39,0,0,1,1,0,1,0,0,0,0,Published Confirmed,1,1,0,0,1,1,0,1,0,0,1,8.4838193,0.961309,8.42918,1.67465,587.039,14.051,13.286,12.001,11.706,11.634,
Kepler-491 b,b,Kepler-491,,,TIC 158388163,Gaia DR2 2102468134431912064,1,2016-05,2016,Transit,Space,Kepler,0.95 m Kepler Telescope,287.1305782,42.3501533,73.21539,14.96283,299.80197,64.02727,4.22538451,,,,,,,,,,,2454970.560674,2.81829,,,,,12.312,12.375,12.17,9.025,,13.9616,13.4584,0,[Fe/H],,14.014,,,0.2176850131858866,-0.7062548156339113,0.6736596844313679,-2037016206,,0.796,8.92,0.07948,,,,2016-05-06,2016-05,2016-05-10,0,,,,,,,,,,,5582.0,0.37,,,,4.42,4.47,1.04,,1.03,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,1,5.5855406,-4.24802,-3.62665,1.55653,630.785,14.754,14.178,12.746,12.426,12.354,
Kepler-257 b,b,Kepler-257,,,TIC 273132699,Gaia DR2 2080246282881778048,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,297.3159994,46.0232642,79.87071,10.01236,318.7119,64.91008,2.382667,,0.034,,,,,,,,,2455003.6633,1.812,,,,,13.299,13.375,13.056,9.389,,15.4215,14.7942,0,,,15.471,,,0.3186430514276195,-0.6169368474024249,0.7196217979564352,-2132779053,,0.233,2.61,,,,,2014-05-14,2014-03,2014-05-14,0,0.09,,,,,,,,,,5180.0,,,,,4.36,,,,1.04,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,3.1528168,3.13805,0.304788,1.25353,780.256,16.816,15.652,13.916,13.448,13.372,
Kepler-216 b,b,Kepler-216,,,TIC 270698499,Gaia DR2 2128067720065692672,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,293.7280695,46.1291139,78.78512,12.26418,313.35389,66.03385,7.693641,,0.079,,,,,,,,,2455009.50106,5.05,,,,,12.631,12.639,12.83,9.335,,13.9607,13.5496,0,,,13.998,,,0.2788749735571222,-0.634450231068265,0.7209033592798271,-1393058667,,0.21,2.35,,,,,2014-05-14,2014-03,2014-05-14,0,0.72,,,,,,,,,,6091.0,,,,,4.28,,,,1.26,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,2,0,0,0,0,0,0,0,0,1,7.7410581,-4.91741,-5.97855,0.813376,1187.47,14.689,14.054,12.956,12.695,12.621,
Kepler-32 c,c,Kepler-32,,,TIC 273590427,Gaia DR2 2080287892525359872,1,2012-05,2011,Transit,Space,Kepler,0.95 m Kepler Telescope,297.8423073,46.5743595,80.53919,9.96232,320.05971,65.24682,8.7522,,0.09,,,,,,,,0.1453,2454977.378,2.328,,,,,12.57,12.6,12.55,9.418,,15.8123,14.8153,0,[Fe/H],,15.801,,,0.3210489634507795,-0.607835203868247,0.7262671189071046,1078132826,,0.178,2.0,0.0352,,,,2016-03-23,2012-05,2016-03-24,0,,,,0.5,158.9,0.5,158.9,Mass,,,3900.0,0.0,,,,4.64,,0.58,,0.53,1,0,1,0,0,0,0,0,0,0,Published Confirmed,1,5,0,0,0,0,0,0,0,0,1,23.9037367,-13.6176,19.6456,3.05948,323.847,17.867,16.36,13.616,12.901,12.757,
Kepler-259 c,c,Kepler-259,,,TIC 158664318,Gaia DR2 2130405041264941184,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,288.2119707,46.6150461,77.5999,15.924,304.73729,67.86968,36.924931,,0.217,,,,,,,,,2455007.22336,4.723,,,,,13.602,13.654,12.729,9.561,,15.1689,14.6907,0,,,15.219,,,0.2146781481009635,-0.6524878156485882,0.7267550778343931,1712803069,,0.241,2.7,,,,,2014-05-14,2014-03,2014-05-14,0,0.03,,,,,,,,,,5938.0,,,,,4.53,,,,0.9,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,2,0,0,0,0,0,0,0,0,1,9.0211182,6.32006,6.43719,0.969386,1002.14,16.11,15.378,14.009,13.673,13.555,
Kepler-148 c,c,Kepler-148,,,TIC 159171904,Gaia DR2 2127828988601389440,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,289.7861626,46.8588176,78.27565,15.03,307.64096,67.72893,4.180043,,0.05,,,,,,,,,2455006.71928,2.482,,,,,13.382,13.441,12.606,9.446,,15.3362,14.7473,0,,,15.342,,,0.231473066334766,-0.6434286996957124,0.7296709724043198,1774126763,,0.321,3.6,,,,,2014-05-14,2014-03,2014-05-14,0,0.48,,,,,,,,,,5272.0,,,,,4.55,,,,0.85,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,2.892914,-2.8737,0.332866,1.23545,791.163,16.627,15.398,13.903,13.527,13.359,
Kepler-222 d,d,Kepler-222,,,TIC 158625100,Gaia DR2 2130460394803778816,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,287.9060885,46.9377479,77.8255,16.24184,304.49306,68.24343,28.081912,,0.18,,,,,,,,,2455027.91404,4.541,,,,,13.237,13.257,12.753,8.847,,15.0603,14.5083,0,,,15.063,,,0.2099298600655276,-0.6497192900911588,0.7306122760646092,-1645614768,,0.329,3.69,,,,,2014-05-14,2014-03,2014-05-14,0,0.44,,,,,,,,,,5433.0,,,,,4.55,,,,0.87,1,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,1.1392978,0.599843,-0.968601,1.28931,758.854,16.098,15.407,13.717,13.341,13.235,
Kepler-29 c,c,Kepler-29,,,TIC 273875635,Gaia DR2 2086435189017387264,1,2012-05,2011,Transit,Space,Kepler,0.95 m Kepler Telescope,298.348382,47.4913021,81.52267,10.1103,321.80852,65.90791,13.28613,,,,,0.0,,,34.4,1.91,,,,,,,,13.559,13.645,13.192,9.643,,15.2819,14.7752,0,[Fe/H],,15.282,,,0.3208446780776568,-0.5946697003406151,0.7371747689971813,159650739,,0.209,2.34,,,,,2020-05-04,2020-03,2020-05-07,0,,,,0.01416,4.5,0.01416,4.5,Mass,,,5378.0,-0.44,,,,4.6,,0.76,,0.73,1,0,1,0,0,0,0,0,0,0,Published Confirmed,1,2,0,0,0,0,0,0,0,0,1,17.4149562,6.32565,16.2255,1.17385,832.532,16.014,15.547,14.131,13.673,13.657,
Kepler-179 b,b,Kepler-179,,,TIC 268057162,Gaia DR2 2086468453545432960,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,298.6636163,47.7619329,81.86816,10.05858,322.58022,66.04824,2.735926,,0.036,,,,,,,,,2455004.09382,1.987,,,,,12.725,12.774,13.247,9.313,,14.6031,14.0436,0,,,14.613,,,0.3224378112741774,-0.5898336004298518,0.7403581441874437,147371196,,0.146,1.64,,,,,2014-05-14,2014-03,2014-05-14,0,0.57,,,,,,,,,,5302.0,,,,,4.61,,,,0.76,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,2,0,0,0,0,0,0,0,0,1,26.5537114,-18.5031,-19.0456,1.62234,605.68,15.657,14.772,13.278,12.873,12.75,
Kepler-165 c,c,Kepler-165,,,TIC 123129877,Gaia DR2 2119814820141727232,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,280.69092,47.8096702,76.92011,21.12868,291.84264,70.43928,15.31299,,0.11,,,,,,,,,2455004.79196,3.028,,,,,12.838,12.889,13.101,9.509,,14.7945,14.2294,0,,,14.802,,,0.1245882897883505,-0.6599381331806116,0.7409179566063325,1274663413,,0.199,2.23,,,,,2014-05-14,2014-03,2014-05-14,0,0.06,,,,,,,,,,5211.0,,,,,4.54,,,,0.77,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,2,0,0,0,0,0,0,0,0,1,21.9176708,-15.5304,-15.4658,1.75418,560.885,15.7,15.05,13.43,12.926,12.843,
Kepler-228 c,c,Kepler-228,,,TIC 27772524,Gaia DR2 2086660283961964416,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,296.2860853,48.2246328,81.50262,11.67615,319.56339,67.19429,4.134444,,0.052,,,,,,,,,2455005.97678,3.123,,,,,14.087,14.17,13.1,9.616,,15.7042,15.2058,0,,,15.714,,,0.295034249535767,-0.5973216068479485,0.7457624887277795,1987710185,,0.241,2.7,,,,,2014-05-14,2014-03,2014-05-14,0,0.15,,,,,,,,,,6043.0,,,,,4.47,,,,1.01,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,9.4344126,-5.05494,-7.96591,0.579846,1644.61,16.756,15.902,14.528,14.113,14.132,
Kepler-20 c,c,Kepler-20,,,TIC 158554588,Gaia DR2 2102548708017562112,1,2012-04,2011,Transit,Space,Kepler,0.95 m Kepler Telescope,287.6979913,42.3385782,73.37692,14.57345,300.71449,63.90239,10.8540774,,0.0936,89.815,,0.076,828.0,,78.7,2.51,,2454971.60886,,,,,,10.799,10.85,10.731,9.328,,12.4535,11.9623,0,[Fe/H],,12.498,,,0.2247097942645659,-0.7041940742099388,0.6735103668164162,-1933436408,3.38,0.258,2.894,,,,,2023-04-17,2023-04,2023-04-17,0,,,,0.03492,11.1,0.03492,11.1,Mass,,,5495.0,0.07,,,,,5.6,0.93,,0.92,0,0,1,1,0,0,0,0,0,0,Published Confirmed,2,6,0,0,0,0,0,0,2,0,3,27.2511636,-3.97634,-26.9595,3.51026,282.563,13.278,12.61,11.252,10.91,10.871,
Kepler-166 d,d,Kepler-166,,,TIC 26814955,Gaia DR2 2129025841368107136,1,2016-05,2016,Transit,Space,Kepler,0.95 m Kepler Telescope,293.1600977,48.8812074,81.14899,13.81924,315.39503,68.6996,1.55400393,,,,,,,,,,,2455002.830478,1.7696,,,,,12.827,12.855,12.694,9.859,,14.6848,14.143,0,[Fe/H],,14.701,,,0.2586440001138202,-0.6046242367525893,0.7533477374602455,-778595354,,0.154,1.73,0.01902,,,,2016-05-06,2016-05,2016-05-10,0,,,,,,,,,,,5350.0,-0.03,,,,4.55,4.47,0.88,,0.83,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,7.1768718,-6.62996,-2.74793,1.62825,603.53,15.678,14.857,13.346,12.941,12.876,
Kepler-52 b,b,Kepler-52,,,TIC 399825554,Gaia DR2 2133589776693414016,1,2013-01,2012,Transit,Space,Kepler,0.95 m Kepler Telescope,286.7380152,49.9757383,80.47826,18.08721,305.41515,71.36241,7.8773565,,,,,,,,,,,2455009.37692,2.4223,,,,,12.268,12.3,12.264,9.256,,15.0589,14.2572,0,,,15.095,,,0.1852136395980371,-0.6158643222353957,0.7657721882546957,364710180,,0.187,2.1,0.03698,,,,2021-09-22,2013-01,2021-09-22,0,,,,0.42476,135.0,0.42476,135.0,Mass,,,4075.0,,,,,4.74,,0.54,,0.52,1,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,4.2074117,-3.97537,1.37795,3.08128,321.542,17.125,15.513,13.153,12.507,12.36,
Kepler-197 d,d,Kepler-197,,,TIC 27397848,Gaia DR2 2135179533070399232,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,295.2264739,50.5592348,83.30414,13.35928,320.89119,69.57907,15.677563,,0.119,,,,,,,,,2455012.46886,5.326,,,,,10.331,10.351,10.385,8.779,,11.78,11.4036,0,,,11.811,,,0.2707546989013163,-0.5746936160277162,0.7722817754678958,-336933782,,0.109,1.22,,,,,2014-05-14,2014-03,2014-05-14,0,0.66,,,,,,,,,,6004.0,,,,,4.3,,,,1.12,0,0,1,0,0,0,0,0,0,0,Published Confirmed,2,4,0,0,0,0,0,0,0,0,2,53.8032155,8.43943,53.1372,2.99628,330.575,12.424,11.775,10.814,10.577,10.535,
K2-183 d,d,K2-183,,,TIC 60256211,Gaia DR2 652007410271734912,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,125.007177,14.0194586,209.82242,25.84832,123.98684,-5.38485,22.620344,,,89.9,,,,,,,,2457212.0276,,15.455,12.7163,12.5605,13.4304,10.997,11.058,11.082,8.356,13.3815,12.6702,12.1741,0,[Fe/H],,12.754,,,-0.5565911554768733,0.7946826661594159,0.24225141021402,616869696,,0.205,2.3,0.0244,49.0,,,2022-03-28,2021-08,2022-03-28,0,,,,,,,,,,,5482.0,0.09,,,,4.6,,,,0.87,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,4.0098553,3.79434,-1.29689,3.01076,329.041,13.632,12.867,11.485,11.152,11.021,
K2-187 e,e,K2-187,,,TIC 332024125,Gaia DR2 689268759823937280,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,132.5235618,23.1924709,202.77723,35.76402,128.59836,5.27026,13.606629,,,90.1,,,,,,,,2457155.08495,,15.6548,12.9476,12.7502,13.3229,11.169,11.235,11.069,8.362001,13.5671,12.8673,12.3562,0,[Fe/H],,12.864,,,-0.621272439564104,0.6774403866553248,0.3938211248350586,800566993,,0.17,1.9,0.0206,28.0,,,2022-03-28,2021-08,2022-03-28,0,,,,,,,,,,,5438.0,0.0,,,,4.6,,,,0.83,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,4,0,0,0,0,0,0,0,0,1,32.9140281,-11.8636,-30.7016,2.9939,330.916,13.986,13.102,11.687,11.289,11.196,
K2-187 c,c,K2-187,,,TIC 332024125,Gaia DR2 689268759823937280,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,132.5235618,23.1924709,202.77723,35.76402,128.59836,5.27026,2.871512,,,90.4,,,,,,,,2457144.63842,,15.6548,12.9476,12.7502,13.3229,11.169,11.235,11.069,8.362001,13.5671,12.8673,12.3562,0,[Fe/H],,12.864,,,-0.621272439564104,0.6774403866553248,0.3938211248350586,800566993,,0.125,1.4,0.0154,9.2,,,2022-03-28,2021-08,2022-03-28,0,,,,,,,,,,,5438.0,0.0,,,,4.6,,,,0.83,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,4,0,0,0,0,0,0,0,0,2,32.9140281,-11.8636,-30.7016,2.9939,330.916,13.986,13.102,11.687,11.289,11.196,
K2-270 b,b,K2-270,,,TIC 293375721,Gaia DR2 608395625151767680,1,2018-12,2018,Transit,Space,K2,0.95 m Kepler Telescope,131.2665588,13.5497322,213.091,31.22796,130.01584,-4.34206,1.543069,,0.0247,,,,1203.0,,,,,2457142.41998,,16.6905,13.562,13.3068,13.4125,11.292,11.376,11.488,8.731,15.1251,13.4701,12.8344,0,[Fe/H],,13.431,,,-0.6412054054571426,0.7307285128635593,0.2342892837941,-411806528,,0.123,1.38,0.0164,6.04,,,2018-10-24,2018-12,2018-10-26,0,0.42,,,,,,,,,,4877.0,0.26,,,,4.59,,0.85,,0.77,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,2,0,0,0,0,0,0,0,0,1,25.669643,-11.8205,-22.7861,3.53616,280.518,14.824,13.847,11.968,11.462,11.368,
Kepler-184 d,d,Kepler-184,,,TIC 63119782,Gaia DR2 2125831210335846016,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,291.9518784,43.0746172,75.41102,12.04501,307.96232,63.64884,29.022358,,0.179,,,,,,,,,2455031.3679,3.961,,,,,12.656,12.691,12.677,9.062,,14.3115,13.8197,0,,,14.338,,,0.2730680428150741,-0.6775048491211177,0.6829502349443306,-731533176,,0.222,2.49,,,,,2014-05-14,2014-03,2014-05-14,0,0.89,,,,,,,,,,5788.0,,,,,4.51,,,,0.87,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,22.8747961,-2.92512,-22.687,1.6097,610.326,15.168,14.42,13.1,12.752,12.69,
Kepler-257 d,d,Kepler-257,,,TIC 273132699,Gaia DR2 2080246282881778048,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,297.3159994,46.0232642,79.87071,10.01236,318.7119,64.91008,24.664551,,0.16,,,,,,,,,2455022.02052,2.655,,,,,13.299,13.375,13.056,9.389,,15.4215,14.7942,0,,,15.471,,,0.3186430514276195,-0.6169368474024249,0.7196217979564352,-2132779053,,0.442,4.95,,,,,2014-05-14,2014-03,2014-05-14,0,0.13,,,,,,,,,,5180.0,,,,,4.36,,,,1.04,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,3.1528168,3.13805,0.304788,1.25353,780.256,16.816,15.652,13.916,13.448,13.372,
K2-280 b,b,K2-280,,,TIC 119605900,Gaia DR2 6772454416893148928,1,2018-12,2018,Transit,Space,K2,0.95 m Kepler Telescope,291.5953596,-22.2477071,16.32379,-17.32247,289.91288,-0.2892,19.89526,246.77,0.1461,89.53,2457315.06,0.35,787.0,,,0.48,,2457307.58114,8.267,,,,,10.726,10.779,10.537,8.579001,,12.3604,11.8657,0,[Fe/H],,12.302,,,0.3406500638694736,-0.8605874777535087,-0.3786115781636603,1535879015,9.18,0.669,7.5,0.05354,25.79,,,2021-07-12,2020-10,2021-07-12,0,0.27,,,0.11673,37.1,0.11673,37.1,Mass,,,5500.0,0.33,,3.0,,4.21,8.96,1.03,0.8,1.28,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,13.2692359,4.44214,-12.5036,2.52663,391.537,13.269,12.524,11.141,10.854,10.765,
K2-381 c,c,K2-381,,,TIC 10195089,Gaia DR2 4081376064109034496,1,2022-03,2022,Transit,Space,K2,0.95 m Kepler Telescope,288.0267612,-21.0075789,16.13135,-13.78589,286.79284,1.38671,16.034656,,,,,,,,,,,2457304.2916,,,,,,10.241,10.273,10.106,7.741,,12.6373,11.9607,0,[Fe/H],,12.601,,,0.2888922204369458,-0.8877078203328439,-0.3584914374025164,-1461627296,,0.178,2.0,0.0271,39.39,,,2022-03-16,2022-03,2022-03-16,0,0.338,,,,,,,,,,4473.0,-0.244,,,,4.65,,0.75,,0.68,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,2,37.6436184,-34.8004,14.3518,6.83508,145.701,14.063,12.883,10.97,10.39,10.302,
Kepler-222 c,c,Kepler-222,,,TIC 158625100,Gaia DR2 2130460394803778816,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,287.9060885,46.9377479,77.8255,16.24184,304.49306,68.24343,10.08881,,0.091,,,,,,,,,2455006.08263,1.714,,,,,13.237,13.257,12.753,8.847,,15.0603,14.5083,0,,,15.063,,,0.2099298600655276,-0.6497192900911588,0.7306122760646092,-1645614768,,0.414,4.64,,,,,2014-05-14,2014-03,2014-05-14,0,0.9,,,,,,,,,,5433.0,,,,,4.55,,,,0.87,1,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,1.1392978,0.599843,-0.968601,1.28931,758.854,16.098,15.407,13.717,13.341,13.235,
HATS-36 b,b,HATS-36,,,TIC 119262291,Gaia DR2 6771542097119292928,1,2018-03,2018,Transit,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,291.4787013,-23.2028183,15.35677,-17.59239,289.66693,-1.21836,4.175186,,0.0523,,,,1203.0,,,,,2457314.4631,,,,,,12.741,12.816,11.815,8.621,,14.233,13.7805,0,[Fe/H],,14.3,,,0.3365392125035126,-0.855286798469656,-0.3939871201080582,-1255567911,,1.153,12.92,0.1077,10.32,,,2018-10-24,2018-12,2018-10-26,0,0.17,,,,,,,,,,5950.0,0.15,,,,4.4,,1.1,1.19,1.1,0,0,1,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,1,7.8836988,2.19878,-7.57087,1.13973,856.436,15.06,14.364,13.181,12.855,12.809,
Kepler-229 b,b,Kepler-229,,,TIC 399912169,Gaia DR2 2131114947819394816,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,286.9994758,48.3757867,78.97779,17.34816,304.22402,69.80276,6.252972,,0.062,,,,,,,,,2455004.29884,2.64,,,,,13.652,13.698,12.808,9.476,,15.8265,15.2154,0,,,15.841,,,0.1941998051869551,-0.6352197270448651,0.7475174473137036,-565252898,,0.196,2.2,,,,,2014-05-14,2014-03,2014-05-14,0,0.11,,,,,,,,,,5120.0,,,,,4.63,,,,0.73,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,5.626649,-1.32543,-5.46831,1.1822,826.265,16.884,16.22,14.363,13.868,13.785,
K2-222 b,b,K2-222,,,TIC 257774438,Gaia DR2 2584093844170270720,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,16.4625203,11.7537171,128.53772,-50.96109,19.66406,4.38938,15.38857,,0.1206,89.12,,0.16,871.0,,96.0,3.68,,2457399.0595,,,,,,8.052,8.096,8.069,7.92,,9.36072,8.97055,0,[Fe/H],,9.443,,,0.9388971416315836,0.2774460698413402,0.2037052669069603,1677731310,2.29,0.21,2.35,,,,,2023-04-17,2023-04,2023-04-17,0,,,,0.02737,8.7,0.02737,8.7,Mass,,,5942.0,-0.315,,,,,7.1,0.99,,1.11,0,0,1,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,86.9642815,55.2964,67.12,9.84127,101.321,10.038,9.543,8.423,8.169,8.105,
K2-214 b,b,K2-214,,,TIC 344657681,Gaia DR2 2551946391916754176,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,14.8759777,4.2277722,126.79207,-58.58351,15.32634,-1.96014,8.596802,,0.0834,,,,1006.0,,,,,2457396.59585,,14.5997,11.3536,11.2429,13.4246,10.163,10.216,10.168,8.51,12.1781,11.599,11.1651,0,[Fe/H],,11.597,,,0.9638538645639886,0.2560290081194995,0.0737216031188249,-231708591,,0.217,2.43,0.0176,16.18,,,2018-10-24,2018-12,2018-10-26,0,0.39,,,,,,,,,,5854.0,0.05,,,,4.25,,1.05,1.08,1.27,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,30.8225303,-25.3227,-17.5724,3.29796,300.64,12.146,11.806,10.576,10.217,10.223,
K2-220 b,b,K2-220,,,TIC 266012991,Gaia DR2 2581918597853527424,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,12.7700071,9.5167694,122.78408,-53.35488,15.44256,3.72566,13.683256,,0.1104,,,,758.0,,,,,2457401.27048,,14.8923,14.5512,11.511,13.86,10.118,10.158,10.125,9.091,15.0065,11.7214,11.2429,0,[Fe/H],,11.752,,,0.9618428675699044,0.2179959110221614,0.1653362660837635,1045714755,,0.213,2.39,0.0216,31.18,,,2018-10-24,2018-12,2018-10-26,0,0.38,,,,,,,,,,5660.0,0.04,,,,4.4,,0.96,3.061,1.02,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,31.5139596,30.6326,-7.40091,4.25418,233.514,12.611,11.873,10.582,10.23,10.161,
K2-216 b,b,K2-216,,,TIC 418761354,Gaia DR2 2556231154370582400,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,11.4802354,6.3470302,120.44792,-56.49811,13.02957,1.30322,2.1748,,0.028,86.9,,0.0,1103.0,,248.0,8.2,,2457394.0417,1.84,,,,,9.65,9.744,9.731,7.809,,12.0576,11.375,0,[Fe/H],K5 V,12.1,,,0.9739865963398908,0.1978099460188115,0.1105501488297042,-2128095076,5.0,0.156,1.75,0.0221,8.3,,,2018-11-02,2018-10,2018-11-01,0,0.45,,,0.02517,8.0,0.02517,8.0,Mass,,,4503.0,0.0,,1.8,-0.721,4.57,,0.7,2.3,0.72,0,0,1,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,10.7859024,-1.96984,10.6045,8.63246,115.461,13.563,12.403,10.394,9.856,9.721,K
K2-212 b,b,K2-212,,,TIC 388811663,Gaia DR2 2538824923230146560,1,2018-03,2018,Transit,Space,K2,0.95 m Kepler Telescope,18.4241015,3.0970732,133.86499,-59.30136,18.17215,-4.35659,9.795647,,,,,,,,,,0.12797,2457399.64109,,16.7814,15.8655,11.8544,14.1993,9.789,9.843,9.74,8.525,16.7233,12.55,11.7603,0,,,12.588,,,0.947357445398098,0.3155865442250583,0.0540278053679337,1885426141,,0.236,2.65,0.03577,27.97,,,2022-08-23,2021-10,2022-08-23,0,0.4203,,,,,,,,,,4349.0,,,,,4.72,,0.62,,0.68,0,0,1,0,0,0,0,0,0,0,Published Confirmed,1,1,0,0,0,0,0,0,0,0,0,165.6720402,162.635,31.5766,9.12809,109.218,14.401,12.977,10.629,10.015,9.856,
Kepler-166 c,c,Kepler-166,,,TIC 26814955,Gaia DR2 2129025841368107136,1,2014-03,2014,Transit,Space,Kepler,0.95 m Kepler Telescope,293.1600977,48.8812074,81.14899,13.81924,315.39503,68.6996,34.260281,,0.195,,,,,,,,,2455016.22653,4.84,,,,,12.827,12.855,12.694,9.859,,14.6848,14.143,0,,,14.701,,,0.2586440001138202,-0.6046242367525893,0.7533477374602455,-778595354,,0.212,2.38,,,,,2014-05-14,2014-03,2014-05-14,0,0.23,,,,,,,,,,5413.0,,,,,4.62,,,,0.74,1,0,1,0,0,0,0,0,0,0,Published Confirmed,1,3,0,0,0,0,0,0,0,0,1,7.1768718,-6.62996,-2.74793,1.62825,603.53,15.678,14.857,13.346,12.941,12.876,
